1635236500.732619
1635240934.843308
1635241834.52075
1639890387.17486,1.02,142
1639897955.715341,0.42,165
1639907320.921295,0.4,171
1639913035.625599,0.44,149
1639916595.423207,0.42,173
1639918273.202378,1.65,165
1639923625.694682,0.38,146
1639953870.588978,1.47,147
1639955267.227653,1.29,145
1639959562.306815,1.1,150
1639962048.757613,0.4,144
1639966405.996501,1.11,188
1639967210.358904,1.24,141
1639975942.442975,1.53,164
1639984311.091846,0.44,144
1639990593.030254,0.4,164
1639991406.198287,1.6,162
1640000473.95142,1.53,156
1640010204.364776,0.39,140
1640017729.480971,0.89,138
1640045383.182583,1.53,158
1640048150.012486,1.4,186
1640052242.903366,1.48,187
1640064894.917241,1.53,148
1640074038.705891,1.62,134
1640076650.611203,1.48,172
1640080670.945602,0.43,152
1640094518.372679,0.39,147
1640103186.058482,1.51,150
1640128365.701168,0.4,141
1640131332.632578,1.6,177
1640133308.101995,0.91,165
1640135914.042644,1.72,197
1640144591.358092,0.43,142
1640151886.713427,0.4,160
1640160415.658862,0.43,148
1640168315.446507,0.39,147
1640176200.952269,1.41,158
1640178167.168341,0.62,152
1640183870.595528,1.11,140
1640214203.162031,1.3,148
1640220683.149192,0.39,148
1640223563.982114,0.37,152
1640227401.893856,0.39,160
1640228954.520856,0.4,168
1640231925.385691,0.44,182
1640242138.591065,0.42,148
1640251784.985836,1.62,155
1640254795.864982,0.41,166
1640256348.618167,1.57,156
1640260142.519069,0.39,140
1640273192.922978,1.42,140
1640304361.386397,0.43,136
1640307621.539605,0.44,181
1640311031.933681,0.39,137
1640317701.619006,0.4,179
1640319415.930541,1.71,165
1640331978.943617,0.43,150
1640337178.230026,0.42,138
1640341589.765693,0.4,151
1640349624.877298,0.45,149
1640388259.550915,0.42,147
1640393808.909638,1.53,142
1640397078.940553,1.53,177
1640402632.397049,0.67,148
1640407683.086892,1.4,142
1640418062.575673,0.44,138
1640422239.328919,0.4,138
1640425184.057336,1.55,145
1640427806.387718,1.03,156
1640430645.796517,0.39,136
1640440189.64427,1.32,149
1640475491.803725,1.72,155
1640481282.495275,1.63,148
1640483581.795291,0.4,204
1640485054.987796,0.4,170
1640488411.948485,1.04,138
1640506748.859036,0.43,164
1640507662.201972,1.3,168
1640520632.803944,1.53,142
1640523986.787403,0.4,140
1640564374.068113,0.42,182
1640565700.405648,1.27,174
1640569720.827712,0.44,119
1640569842.615628,0.39,36
1640581226.800259,0.37,138
1640589235.431593,0.43,144
1640591583.89365,1.49,150
1640602373.233184,0.44,138
1640609084.608839,0.44,142
1640619245.70504,1.43,144
1640648510.977588,0.4,146
1640650921.145129,1.62,139
1640660702.045931,1.52,136
1640665971.601909,0.43,141
1640673577.06258,1.52,156
1640675398.865595,1.23,203
1640683162.718187,0.41,144
1640687671.500781,0.4,144
1640688903.107183,0.61,171
1640691950.290816,0.45,170
1640693167.008038,0.92,148
1640701271.377356,1.62,153
1640735216.620079,1.59,144
1640741586.608427,0.51,160
1640747846.63318,0.4,176
1640748917.91533,1.28,207
1640758567.113968,0.42,142
1640762458.479064,1.09,163
1640772023.142956,0.4,146
1640777764.387459,1.07,150
1640780683.470379,0.41,144
1640786229.764336,1.16,150
1640791391.98584,0.39,163
1640821398.023452,0.4,138
1640824993.333172,0.39,140
1640832421.029399,1.53,170
1640838260.919008,1.21,146
1640842544.021913,0.43,138
1640852505.92133,0.43,170
1640853435.49924,0.38,158
1640854503.048829,1.53,150
1640859041.398334,0.44,153
1640861876.422363,0.44,146
1640866086.752502,0.68,158
1640880723.544124,0.43,144
1640910279.927527,1.2,146
1640913897.341947,1.1,181
1640914685.113984,1.27,177
1640920195.643983,0.44,152
1640929003.349197,0.42,150
1640930612.275409,0.39,179
1640931339.927282,0.38,185
1640937016.26321,1.42,139
1640944012.866143,0.38,150
1640946266.135192,0.4,174
1640947340.103587,0.4,148
1640949204.584902,1.1,172
1640950585.431964,0.45,142
